"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"REICHELT";"REICHELT_EU";"REICHELT_LNK";"SPICEPREFIX";"VALUE";
"6=5V";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"ABC";"";"STL1550-4ON_BOARD";"STL1550-4_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"ABC1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"ABC2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"ABC3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"ABC4";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"ABC5";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"C1";"470uF";"SPARKFUN-CAPACITORS_100UF-25V-20%(PTH)";"SPARKFUN-CAPACITORS_CPOL-RADIAL-100UF-25V";"CAP-08439";"";"";"";"";"";"CAP-08439";"";"";"";"";"";
"C1H";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C1R";"100n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C2";"470uF";"SPARKFUN-CAPACITORS_100UF-25V-20%(PTH)";"SPARKFUN-CAPACITORS_CPOL-RADIAL-100UF-25V";"CAP-08439";"";"";"";"";"";"CAP-08439";"";"";"";"";"";
"C2H";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C2R";"100n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C3H";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C3H1";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C3R";"100n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"C3R1";"100n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";"";
"CON1";" ";"ML6";"ML6";"HARTING";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"D1";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D2";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D3";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D4";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D5";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D6";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D7";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D8";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D9";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D10";"UF5404V";"UF5404V";"DO201-15-V";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D11";"1N5822";"1N5822";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";
"D12";"1N5822";"1N5822";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";
"H1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";
"H2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";
"H4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"ULN2003AN";"ULN2003AN";"DIL16";"DRIVER ARRAY";"";"";"";"";"";"";"ULN 2003A STM";"0,22 €";"https://www.reichelt.de/seven-darlington-arrays-dip-16-uln-2003a-stm-p216685.html?&trstct=pos_0";"";"";
"IC2";"ULN2003AN";"ULN2003AN";"DIL16";"DRIVER ARRAY";"";"";"";"";"";"";"ULN 2003A STM";"0,22 €";"https://www.reichelt.de/seven-darlington-arrays-dip-16-uln-2003a-stm-p216685.html?&trstct=pos_0";"";"";
"J1";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J2";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J5";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J6";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J7";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"J8";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"J9";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"JP_LED1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"JP_LED2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"JP_LED3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"K1_AB";"HFD2-L";"HFD2-L";"HFD2-L";"RELAY";"";"";"unknown";"unknown";"5";"";"";"";"";"";"";
"K1_CD";"HFD2-L";"HFD2-L";"HFD2-L";"RELAY";"";"";"unknown";"unknown";"5";"";"";"";"";"";"";
"K1_EF";"HFD2-L";"HFD2-L";"HFD2-L";"RELAY";"";"";"unknown";"unknown";"5";"";"";"";"";"";"";
"K2_AB";"351";"351";"351";"RELAY";"";"";"unknown";"unknown";"5";"";"";"";"";"";"";
"K2_CD";"351";"351";"351";"RELAY";"";"";"unknown";"unknown";"5";"";"";"";"";"";"";
"K2_EF";"351";"351";"351";"RELAY";"";"";"unknown";"unknown";"5";"";"";"";"";"";"";
"K3_A";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K3_C";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K3_E";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K4_B";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K4_D";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K4_F";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K_RES_G";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"K_RES_H";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";"";"";"";"";"";
"LED1";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"Red";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED3";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED4";"Red";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED5";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED6";"Red";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED7";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED8";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED9";"Red";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED10";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED11";"Red";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED12";"Green";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED13";"Red";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";
"MONO3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"NO_OPTW1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"NO_OPTW2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"NWS1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"NWS2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"OPT_LED";"";"CON-HARTING-ML_ML08";"CON-HARTING-ML_ML08";"Modified by Hardi";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"OUT_A";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_B";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_C";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_D";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_E";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_F";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_G";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_H";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"R1";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R2";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R3";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R4";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R5";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R6";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R7";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R8";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R9";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R10";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R11";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R12";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R13";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R14";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R15";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R16";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R17";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"RES_G1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"RES_G2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"RES_H";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"RN1";"";"G07R";"SIL8";"SIL RESISTOR";"";"";"unknown";"unknown";"0";"";"";"";"";"";"";
"RN2";"";"G07R";"SIL8";"SIL RESISTOR";"";"";"unknown";"unknown";"0";"";"";"";"";"";"";
"SINGLE";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"SV3";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"SV4";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"TERM";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"U2R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U3H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"U4R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U5H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"U5R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U6H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"U7R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U8H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"WS1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"WS2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"WS3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"WS4";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
